WL,AW_SB81,AW_P93,AW_PF97,BW_SB81,BBW,KW_SB81,KW_P93,KW_PF97
338.000,0.05844000,,,0.01574000,0.007870000,0.06631000,,
338.500,0.05785500,,,0.01563000,0.007815000,0.06567000,,
339.000,0.05727000,,,0.01552000,0.007760000,0.06503000,,
339.500,0.05668500,,,0.01541000,0.007705000,0.06439000,,
340.000,0.05610000,,0.03250000,0.01530000,0.007650000,0.06375000,,0.04015000
340.500,0.05561000,,0.03189500,0.01520500,0.007602500,0.06321250,,0.03949750
341.000,0.05512000,,0.03129000,0.01511000,0.007555000,0.06267500,,0.03884500
341.500,0.05463000,,0.03068500,0.01501500,0.007507500,0.06213750,,0.03819250
342.000,0.05414000,,0.03008000,0.01492000,0.007460000,0.06160000,,0.03754000
342.500,0.05365000,,0.02947500,0.01482500,0.007412500,0.06106250,,0.03688750
343.000,0.05316000,,0.02887000,0.01473000,0.007365000,0.06052500,,0.03623500
343.500,0.05267000,,0.02826500,0.01463500,0.007317500,0.05998750,,0.03558250
344.000,0.05218000,,0.02766000,0.01454000,0.007270000,0.05945000,,0.03493000
344.500,0.05169000,,0.02705500,0.01444500,0.007222500,0.05891250,,0.03427750
345.000,0.05120000,,0.02645000,0.01435000,0.007175000,0.05837500,,0.03362500
345.500,0.05071000,,0.02584500,0.01425500,0.007127500,0.05783750,,0.03297250
346.000,0.05022000,,0.02524000,0.01416000,0.007080000,0.05730000,,0.03232000
346.500,0.04973000,,0.02463500,0.01406500,0.007032500,0.05676250,,0.03166750
347.000,0.04924000,,0.02403000,0.01397000,0.006985000,0.05622500,,0.03101500
347.500,0.04875000,,0.02342500,0.01387500,0.006937500,0.05568750,,0.03036250
348.000,0.04826000,,0.02282000,0.01378000,0.006890000,0.05515000,,0.02971000
348.500,0.04777000,,0.02221500,0.01368500,0.006842500,0.05461250,,0.02905750
349.000,0.04728000,,0.02161000,0.01359000,0.006795000,0.05407500,,0.02840500
349.500,0.04679000,,0.02100500,0.01349500,0.006747500,0.05353750,,0.02775250
350.000,0.04630000,,0.02040000,0.01340000,0.006700000,0.05300000,,0.02710000
350.500,0.04588000,,0.02016000,0.01333000,0.006665000,0.05254500,,0.02682500
351.000,0.04546000,,0.01992000,0.01326000,0.006630000,0.05209000,,0.02655000
351.500,0.04504000,,0.01968000,0.01319000,0.006595000,0.05163500,,0.02627500
352.000,0.04462000,,0.01944000,0.01312000,0.006560000,0.05118000,,0.02600000
352.500,0.04420000,,0.01920000,0.01305000,0.006525000,0.05072500,,0.02572500
353.000,0.04378000,,0.01896000,0.01298000,0.006490000,0.05027000,,0.02545000
353.500,0.04336000,,0.01872000,0.01291000,0.006455000,0.04981500,,0.02517500
354.000,0.04294000,,0.01848000,0.01284000,0.006420000,0.04936000,,0.02490000
354.500,0.04252000,,0.01824000,0.01277000,0.006385000,0.04890500,,0.02462500
355.000,0.04210000,,0.01800000,0.01270000,0.006350000,0.04845000,,0.02435000
355.500,0.04168000,,0.01776000,0.01263000,0.006315000,0.04799500,,0.02407500
356.000,0.04126000,,0.01752000,0.01256000,0.006280000,0.04754000,,0.02380000
356.500,0.04084000,,0.01728000,0.01249000,0.006245000,0.04708500,,0.02352500
357.000,0.04042000,,0.01704000,0.01242000,0.006210000,0.04663000,,0.02325000
357.500,0.04000000,,0.01680000,0.01235000,0.006175000,0.04617500,,0.02297500
358.000,0.03958000,,0.01656000,0.01228000,0.006140000,0.04572000,,0.02270000
358.500,0.03916000,,0.01632000,0.01221000,0.006105000,0.04526500,,0.02242500
359.000,0.03874000,,0.01608000,0.01214000,0.006070000,0.04481000,,0.02215000
359.500,0.03832000,,0.01584000,0.01207000,0.006035000,0.04435500,,0.02187500
360.000,0.03790000,,0.01560000,0.01200000,0.006000000,0.04390000,,0.02160000
360.500,0.03750500,,0.01539000,0.01193000,0.005965000,0.04347000,,0.02135500
361.000,0.03711000,,0.01518000,0.01186000,0.005930000,0.04304000,,0.02111000
361.500,0.03671500,,0.01497000,0.01179000,0.005895000,0.04261000,,0.02086500
362.000,0.03632000,,0.01476000,0.01172000,0.005860000,0.04218000,,0.02062000
362.500,0.03592500,,0.01455000,0.01165000,0.005825000,0.04175000,,0.02037500
363.000,0.03553000,,0.01434000,0.01158000,0.005790000,0.04132000,,0.02013000
363.500,0.03513500,,0.01413000,0.01151000,0.005755000,0.04089000,,0.01988500
364.000,0.03474000,,0.01392000,0.01144000,0.005720000,0.04046000,,0.01964000
364.500,0.03434500,,0.01371000,0.01137000,0.005685000,0.04003000,,0.01939500
365.000,0.03395000,,0.01350000,0.01130000,0.005650000,0.03960000,,0.01915000
365.500,0.03355500,,0.01329000,0.01123000,0.005615000,0.03917000,,0.01890500
366.000,0.03316000,,0.01308000,0.01116000,0.005580000,0.03874000,,0.01866000
366.500,0.03276500,,0.01287000,0.01109000,0.005545000,0.03831000,,0.01841500
367.000,0.03237000,,0.01266000,0.01102000,0.005510000,0.03788000,,0.01817000
367.500,0.03197500,,0.01245000,0.01095000,0.005475000,0.03745000,,0.01792500
368.000,0.03158000,,0.01224000,0.01088000,0.005440000,0.03702000,,0.01768000
368.500,0.03118500,,0.01203000,0.01081000,0.005405000,0.03659000,,0.01743500
369.000,0.03079000,,0.01182000,0.01074000,0.005370000,0.03616000,,0.01719000
369.500,0.03039500,,0.01161000,0.01067000,0.005335000,0.03573000,,0.01694500
370.000,0.03000000,,0.01140000,0.01060000,0.005300000,0.03530000,,0.01670000
370.500,0.02960000,,0.01139850,0.01054000,0.005270000,0.03487000,,0.01666850
371.000,0.02920000,,0.01139700,0.01048000,0.005240000,0.03444000,,0.01663700
371.500,0.02880000,,0.01139550,0.01042000,0.005210000,0.03401000,,0.01660550
372.000,0.02840000,,0.01139400,0.01036000,0.005180000,0.03358000,,0.01657400
372.500,0.02800000,,0.01139250,0.01030000,0.005150000,0.03315000,,0.01654250
373.000,0.02760000,,0.01139100,0.01024000,0.005120000,0.03272000,,0.01651100
373.500,0.02720000,,0.01138950,0.01018000,0.005090000,0.03229000,,0.01647950
